Heaps of fun for the kid's,"Scitech has a little something for everyone of all ages but I'd definitely recommend to anyone with kids looking for something safe fun and affordable (They will definitely learn a few things with out knowing it as well)
The Planetarium was my personal favourite part..."
Wow!!!,"Finally I got to go to Scitech! My wife and I took her grandchildren, and I think I had more fun than they did. I wish they had these places when I was young. I reacon this place will probably be a major factor in..."
Enjoyed our last day in Perth ALL day at Sci Tech! ,"Sci tech was fun and absorbing for all of us. When we visited, there was a Whodunit exhibition sponsored by BHP - which presented a murder and got the kids to solve it. It was very well curated for all the scientific processes that the..."
Scitech in perth,One of the best places in perth to take children. Full of hands on activities and also provides a theatre with science shows as well as a planetarium. There is a small cafe on site.
Fun place for the kids with many interactive exhibits,"We visited on a weekend noon, and the place was busy with many children and their parents/minders. The entire floor is filled with interesting and very interactive exhibits for children to try out, and there are also additional shows like the Puppet Theater (our two..."
Amazing improvements,Since our last visit 2 years ago the Scitech has invested extremely well in a number of new attractions. Our Granddaughters thoroughly enjoyed the light tubes and the moon buggy ride. They also still do the free car parking in the underground carpark.
What a great set up,"Having spent the day here with our grandchildren, who learnt, saw and touched so much science.
This is a well thought out science fest that is made interesting for learning at all ages.
The planetarium show is simply amazing and filled with interesting facts about..."
Scitech? It's crazily amazing!,"Science, Physics, Games and Planetarium all these you will LOVE. If you have children they will ask you to go there every weekend. One thing I do not like there-there is no a decent cafe nearby, espesially on a weekend. Do no go there if..."
Great KId's Entertainment,"This is a fantastic interactive activity for the entire family, with the only exception being older teens. It is reasonably priced, educational, safe family fun. Parents can get actively involved or relax with a coffee. Can get busy at times, however, it all just seems..."
Great value educational experience,"Went as a family of four with 2 daughters aged 13 & 8. Family ticket great value and spent all day there. Plenty of
Interesting hands-on activities to keep children engaged along with quality demonstrations. Being able to leave the centre allowed us to walk..."
Lovely Day out,"I visited with my sister, brother in law and nephew. It is debatable as to who enjoyed it most... We had an awesome time. It is educational and fun."
Impressive Applied Science!,"The kids enjoyed this very much! They explored age-appropriate activities / exhibits / displays. The Planetarium was really really good. They have a puppet show, an interactive show for young kids. It's like watching the TV show High 5, live and with your kids as..."
A Day of Fun with Science,What a day it was at Scitech! We went during school hollidays so there were a lot of kids to compete with. Enjoyed the planetarium the best especially the shows narrated by Neil deGrasse Tyson. Also loved the Mindball game - it was pretty fun...
Great ,Definitely worth a visit. Loved the planetarium and the Whodunnit exhibition was excellent. Kept my 10 year old daughter and friends entertained for hour . Great for the adults too thoroughly enjoyed our visit very educational
Experience at Scitech,"sufficient demo and workshops by Scitech. however, the timings are too close and would take up the whole day if you are interested in the hands on exhibits. There are loads of things to do for the kids between the age of 7 to 12..."
Awesome family day out,Great place to spend a rainy afternoon and watch time fly by. Lots to do for all ages from toddlers to adults lots of fun learning to do. Would recommend seeing the different shows on offer
Great for everyone,Have been taking my daughter to Scitech since she was two for the annual ToddlerFest. Have also been for a 'grown up' trip with work. There is plenty of interesting stuff there for all ages. The special events are very good and hours pass by...
Catching new scientists young,"Scitech is mainly for youngsters, so I took a friend who is a TAFE student with me to help me evaluate it. He said it was very interesting, espefcially the 3D pen and the 3D printer. Scitech will entertain children from a young age. Young..."
Great for kids and big kids alike - so much to do,Had a work family day here and everyone was amazed by the quantity and quality of exhibits and interactive hands on items. I had to drag my 4 and 7 year olds away after nearly 6 hours here. Make sure you get here early and...
very inytetresting,"I would take my popular there now she takes her kids there,it is always interesting there
dont go there during school holidays. it is to busy,because it is very daughter."
Loaded with fun educational activities! ,"One of those places that can't be covered in one day as there's so much to see and do and understand ... and learn! Not just for kids but we adults learnt a lot too! So if you're based in Perth and have young children,..."
Something for young and old at scitech,Very interesting interactive displays and demonstrations for all ages. Best to take your own lunch. We caught the train in which was very easy and convenient as it stops right outside the complex. We went during school holidays so was very crowded. Missed out on...
WELL WORTH IT!,"I came here over the Eater Long Weekend. Crowds were low. The admission price wasn't to bad. We stayed over 5 hours and only had to leave as someone was picking us up, otherwise we would of been longer. I had an 8yr old and..."
Scitech,My grandchildren visited with their parents. Cost $50 admission for 2 adults 2 children & they said it was fantastic. They were there over 2 hours & could have stayed much longer but ran out of time.Said it was smaller than Canberra's but equally as...
Awesome!,"We went with out 2yr old and 7 month old. The kids were highly entertained, so much more for them to see and play with than we expected. We didn't get a chance to see the shows but still managed to spend quite a bit..."
Awesome planeturium.,"Scitech is a fun place with seasonal exhibitions. My favourite was the 360 degree bicycle. However, the jewel in the Scitech crown is the planetium. A huge doomed screen that takes you on a journey through the solar system. Great for friends and family."
Our attraction highlight in Perth,Our kids love good science museums and Sci-tech was pretty good. Good enough that we spend most of the day there and they still didn't want to leave. There are shows and activities and a reasonable number of interactive areas. The museum cafe was closed...
